Año(aaaa)-Mes(mm),Índice,Inflación anual %,Inflación mensual %,Inflación año corrido %
01/11/2021,110.6,5.26,0.5,4.86
01/12/2021,111.41,5.62,0.73,5.62
01/01/2022,113.26,6.94,1.67,1.67
01/02/2022,115.11,8.01,1.63,3.33
01/03/2022,116.26,8.53,1.0,4.36
01/04/2022,117.71,9.23,1.25,5.66
01/05/2022,118.7,9.07,0.84,6.55
01/06/2022,119.31,9.67,0.51,7.09
01/07/2022,120.27,10.21,0.81,7.96
01/08/2022,121.5,10.84,1.02,9.06
01/09/2022,122.63,11.44,0.93,10.08
01/10/2022,123.51,12.22,0.72,10.86
01/11/2022,124.46,12.53,0.77,11.72
01/12/2022,126.03,13.12,1.26,13.12
01/01/2023,128.27,13.25,1.78,1.78
01/02/2023,130.4,13.28,1.66,3.47
01/03/2023,131.77,13.34,1.05,4.56
01/04/2023,132.8,12.82,0.78,5.38
01/05/2023,133.38,12.36,0.43,5.83
01/06/2023,133.78,12.13,0.3,6.15
01/07/2023,134.45,11.78,0.5,6.68
01/08/2023,135.39,11.43,0.7,7.43
01/09/2023,136.11,10.99,0.54,8.01
01/10/2023,136.45,10.48,0.25,8.27
01/11/2023,137.09,10.15,0.47,8.78
01/12/2023,137.72,9.28,0.45,9.28
01/01/2024,138.98,8.35,0.92,0.92
01/02/2024,140.49,7.74,1.09,2.01
01/03/2024,141.48,7.36,0.7,2.73
01/04/2024,142.32,7.16,0.59,3.34
01/05/2024,142.92,7.16,0.43,3.78
